2017-02-08T12:41:51.0312500Z|Program_Name_Editing|NIST_MTC_CRADA_BOX_REV-A_OP3.NC
2017-02-08T12:42:40.6718750Z|Feed_Rate|12.7
2017-02-08T12:42:40.7031250Z|Program_Runtime_Seconds|43
2017-02-08T12:42:41.0312500Z|Block_Number|578
2017-02-08T12:42:41.1875000Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:41.3437500Z|Feed_Rate|12.7333333333333
2017-02-08T12:42:41.5000000Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:41.6718750Z|Block_Number|579
2017-02-08T12:42:41.7031250Z|Program_Runtime_Seconds|44
2017-02-08T12:42:41.8281250Z|Feed_Rate|11.3166666666667
2017-02-08T12:42:42.0156250Z|Block_Number|580
2017-02-08T12:42:42.0312500Z|Feed_Rate|164.466666666667
2017-02-08T12:42:42.1718750Z|Block_Number|581
2017-02-08T12:42:42.1875000Z|Feed_Rate|89.4166666666667
2017-02-08T12:42:42.3593750Z|Feed_Rate|100.066666666667
2017-02-08T12:42:42.5468750Z|Block_Number|582
2017-02-08T12:42:42.5468750Z|Feed_Rate|97.8166666666667
2017-02-08T12:42:42.7343750Z|Feed_Rate|73.5
2017-02-08T12:42:42.7500000Z|Program_Runtime_Seconds|45
2017-02-08T12:42:42.9062500Z|Block_Number|583
2017-02-08T12:42:42.9218750Z|Feed_Rate|12.7
2017-02-08T12:42:43.0625000Z|Block_Number|585
2017-02-08T12:42:43.0937500Z|Feed_Rate|10.6166666666667
2017-02-08T12:42:43.2500000Z|Block_Number|587
2017-02-08T12:42:43.2812500Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:43.4531250Z|Block_Number|592
2017-02-08T12:42:43.6250000Z|Block_Number|597
2017-02-08T12:42:43.6562500Z|Feed_Rate|12.65
2017-02-08T12:42:43.6718750Z|Program_Runtime_Seconds|46
2017-02-08T12:42:43.8125000Z|Block_Number|601
2017-02-08T12:42:44.0000000Z|Block_Number|606
2017-02-08T12:42:44.0156250Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:44.1875000Z|Block_Number|611
2017-02-08T12:42:44.2187500Z|Feed_Rate|12.7
2017-02-08T12:42:44.3906250Z|Block_Number|615
2017-02-08T12:42:44.4062500Z|Feed_Rate|12.5833333333333
2017-02-08T12:42:44.5625000Z|Block_Number|620
2017-02-08T12:42:44.5937500Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:44.6093750Z|Program_Runtime_Seconds|47
2017-02-08T12:42:44.8125000Z|Block_Number|622
2017-02-08T12:42:44.9375000Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:44.9531250Z|Block_Number|627
2017-02-08T12:42:44.9687500Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:45.1250000Z|Block_Number|631
2017-02-08T12:42:45.3125000Z|Block_Number|636
2017-02-08T12:42:45.3437500Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:45.5000000Z|Block_Number|641
2017-02-08T12:42:45.6875000Z|Block_Number|645
2017-02-08T12:42:45.7187500Z|Feed_Rate|12.65
2017-02-08T12:42:45.7343750Z|Program_Runtime_Seconds|48
2017-02-08T12:42:45.8750000Z|Block_Number|650
2017-02-08T12:42:45.9062500Z|Feed_Rate|12.6333333333333
2017-02-08T12:42:46.0625000Z|Block_Number|655
2017-02-08T12:42:46.0937500Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:46.2500000Z|Block_Number|657
2017-02-08T12:42:46.2812500Z|Feed_Rate|12.1333333333333
2017-02-08T12:42:46.4531250Z|Block_Number|661
2017-02-08T12:42:46.4687500Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:46.6250000Z|Block_Number|666
2017-02-08T12:42:46.6562500Z|Feed_Rate|12.3333333333333
2017-02-08T12:42:46.6718750Z|Program_Runtime_Seconds|49
2017-02-08T12:42:46.8125000Z|Block_Number|671
2017-02-08T12:42:46.8437500Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:47.0000000Z|Block_Number|675
2017-02-08T12:42:47.0312500Z|Feed_Rate|12.6
2017-02-08T12:42:47.1875000Z|Block_Number|680
2017-02-08T12:42:47.2187500Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:47.3906250Z|Block_Number|685
2017-02-08T12:42:47.4062500Z|Feed_Rate|12.0333333333333
2017-02-08T12:42:47.5625000Z|Block_Number|687
2017-02-08T12:42:47.5937500Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:47.7500000Z|Block_Number|692
2017-02-08T12:42:47.7812500Z|Feed_Rate|12.6
2017-02-08T12:42:47.7968750Z|Program_Runtime_Seconds|50
2017-02-08T12:42:47.9375000Z|Block_Number|696
2017-02-08T12:42:47.9687500Z|Feed_Rate|12.5833333333333
2017-02-08T12:42:48.1250000Z|Block_Number|701
2017-02-08T12:42:48.1562500Z|Feed_Rate|12.65
2017-02-08T12:42:48.3125000Z|Block_Number|706
2017-02-08T12:42:48.3281250Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:48.5000000Z|Block_Number|710
2017-02-08T12:42:48.5312500Z|Feed_Rate|12.4833333333333
2017-02-08T12:42:48.6875000Z|Block_Number|715
2017-02-08T12:42:48.7187500Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:48.7343750Z|Program_Runtime_Seconds|51
2017-02-08T12:42:48.8750000Z|Block_Number|719
2017-02-08T12:42:48.9062500Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:49.0625000Z|Block_Number|722
2017-02-08T12:42:49.0937500Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:49.2500000Z|Block_Number|726
